trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
88f8d6a8,tf,0.19380000233650208,0.01000072495287806,0.009993057182052395,0.1873999983072281,0.01000072495287806,0.01000072495287806,0.002130778752816101,0.012003660202026367,True,,,2,4cd509a978bf460f89ba962c5eaf419e,2021-01-12_03-34-16,1610422456,215.13109183311462,15509,thetagpu07,140.221.68.17,215.13109183311462,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.8124,epochs=79,learning_rate=0.037053",0.03705279493378479,0.8123994835768225,912,0.9045323376947552,79
88fea240,tf,0.2727999985218048,0.018779353045680822,0.011076938712336495,0.27250000834465027,0.014223565665053062,0.008774849595591544,0.0023859555581757508,0.011079072952270508,True,,,2,3efa853a999146d9b6654161e240d3ee,2021-01-12_03-33-28,1610422408,167.57588958740234,15634,thetagpu07,140.221.68.17,167.57588958740234,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.50486,epochs=71,learning_rate=0.024024",0.02402386430340808,0.5048632161812657,417,0.545410188658469,71
890098e8,tf,0.26429998874664307,0.011799999999999998,0.007361538461538461,0.2522999942302704,0.01687692307692306,0.009899999999999992,0.001461536633662705,0.010735034942626953,True,,,2,89e1b3cc8c9b4b1f9c4e72e3d9c876be,2021-01-12_03-32-39,1610422359,118.73243141174316,15577,thetagpu07,140.221.68.17,118.73243141174316,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.60749,epochs=63,learning_rate=0.050761",0.05076055047241379,0.6074871594609699,625,0.8975492282353689,63
89029774,tf,0.26930001378059387,0.02163452563863242,0.01171000062960259,0.26739999651908875,0.0182974110078833,0.01009009944407196,0.0022856776925949535,0.012871026992797852,True,,,2,a3ea518856514f7a89cab47fa91be06f,2021-01-12_03-33-00,1610422380,139.24931406974792,15488,thetagpu07,140.221.68.17,139.24931406974792,0,2,"4_adam_epsilon=0.46272,batch_size=974,dropout=0.54464,epochs=93,learning_rate=0.040511",0.040510747952125635,0.5446358661603083,974,0.4627192431307109,93
89059a50,tf,0.2321999967098236,0.009469696969696965,0.008777680652680645,0.20239999890327454,0.009469696969696965,0.009469696969696965,0.009702660496510918,0.009922027587890625,True,,,2,13554635c6b94141af3ed9e04d1832a8,2021-01-12_03-34-42,1610422482,241.22127652168274,15537,thetagpu07,140.221.68.17,241.22127652168274,0,2,"5_adam_epsilon=0.7993,batch_size=704,dropout=0.78801,epochs=84,learning_rate=0.029601",0.029600509869556632,0.78801229798855,704,0.7992997083313532,84
89078978,tf,0.25850000977516174,0.011563084588191755,0.007483542235532446,0.24860000610351562,0.01566318544273228,0.008987672490428164,0.0014319241874032884,0.009216070175170898,True,,,2,0d27ab56993c4db69e21921a90280a77,2021-01-12_03-32-42,1610422362,121.93635511398315,15567,thetagpu07,140.221.68.17,121.93635511398315,0,2,"6_adam_epsilon=0.44119,batch_size=851,dropout=0.63977,epochs=71,learning_rate=0.036376",0.03637624336707051,0.6397724415650685,851,0.44119226008044765,71
890a799e,tf,0.2727000117301941,0.010006328112640423,0.007151071519842273,0.27619999647140503,0.01130161366872332,0.007324790381268781,0.0016563297195734544,0.01136636734008789,True,,,2,ab9f61bc8997446a8f9dd01e41514837,2021-01-12_03-33-04,1610422384,143.0741925239563,15533,thetagpu07,140.221.68.17,143.0741925239563,0,2,"7_adam_epsilon=0.45951,batch_size=516,dropout=0.75202,epochs=62,learning_rate=0.011646",0.011645780293345355,0.7520164746350391,516,0.45951136378329405,62
890c63c6,tf,0.3515999913215637,0.026968184616841917,0.015923289141000142,0.3483999967575073,0.022450584191313093,0.01314202752821679,0.0034996188674561723,0.010300397872924805,True,,,2,727f5abc4b9d4d33b38b39180e3dcb19,2021-01-12_03-32-44,1610422364,123.74304437637329,15523,thetagpu07,140.221.68.17,123.74304437637329,0,2,"8_adam_epsilon=0.93912,batch_size=621,dropout=0.46256,epochs=69,learning_rate=0.0093547",0.00935468826351228,0.4625557808915181,621,0.9391240478146375,69
890e3d90,tf,0.17919999361038208,0.010058709292018637,0.007210927284141961,0.19779999554157257,0.008848303109985672,0.0055874023357097135,0.005255356933575095,0.009825706481933594,True,,,2,bb5416c200f343b79937bb13cd4da2fd,2021-01-12_03-35-44,1610422544,179.7026264667511,15513,thetagpu07,140.221.68.17,179.7026264667511,0,2,"9_adam_epsilon=0.98113,batch_size=443,dropout=0.84507,epochs=81,learning_rate=0.038316",0.03831647228611167,0.8450710780353663,443,0.9811306675304114,81
d26eb3ac,tf,0.2994999885559082,0.028126413343164836,0.016530099176184143,0.28200000524520874,0.02401757528528023,0.01409004326871762,0.008016292425350208,0.09205245971679688,True,,,2,d5acceb6b2f942c0bdfb62463bf57bc5,2021-01-12_03-34-28,1610422468,101.20526456832886,15600,thetagpu07,140.221.68.17,101.20526456832886,0,2,"10_adam_epsilon=0.75489,batch_size=846,dropout=0.53896,epochs=62,learning_rate=0.010682",0.010681858002817917,0.5389605939203579,846,0.7548941703982257,62
