trial_id,pt_test_acc,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
44d003aa,0.9809495385955361,0.9805999994277954,0.00034953916774072,295.6275963783264,True,,,1,98b162c0ba51435db338821d8abc74dd,2020-12-14_17-05-47,1607994347,295.6275963783264,10298,lambda4,140.221.79.14,295.6275963783264,0,1,"9_adam_epsilon=0.15217,batch_size=617,dropout=0.51366,epochs=217,learning_rate=0.071279",0.0712792770460739,0.5136587612809194,617,0.1521749684636862,217
44d003ab,0.9806618696194517,0.9790999889373779,0.0015618806820737463,1110.6084344387054,True,,,1,d2d6f5480e174dbd90eb1ee141917973,2020-12-14_17-22-18,1607995338,1110.6084344387054,16605,lambda4,140.221.79.14,1110.6084344387054,0,1,"10_adam_epsilon=0.55493,batch_size=48,dropout=0.47965,epochs=250,learning_rate=0.068531",0.06853111091799745,0.47964583411522843,48,0.5549292566131057,250
f94bea68,0.9817299157381058,0.98089998960495,0.0008299261331558005,341.35317158699036,True,,,1,2d7876f3b4484da192f5a07577103726,2020-12-14_17-28-02,1607995682,341.35317158699036,24862,lambda4,140.221.79.14,341.35317158699036,0,1,"1_adam_epsilon=0.48353,batch_size=518,dropout=0.13471,epochs=250,learning_rate=0.039844",0.03984356352350771,0.13470873793554874,518,0.4835261178340046,250
f94bea69,0.9728047013282776,0.9750999808311462,0.0022952795028686745,152.74575233459473,True,,,1,9218ee016fe44c4b8153379e6a1d8f79,2020-12-14_17-24-54,1607995494,152.74575233459473,24864,lambda4,140.221.79.14,152.74575233459473,0,1,"2_adam_epsilon=0.59233,batch_size=509,dropout=0.071403,epochs=108,learning_rate=0.030587",0.030587344799144708,0.07140327348057512,509,0.5923262909354438,108
f94bea6a,0.9773775863647461,0.9779000282287598,0.000522441864013623,203.69811248779297,True,,,1,7ea1e197c163438c8b826f7dfb50b045,2020-12-14_17-25-45,1607995545,203.69811248779297,24866,lambda4,140.221.79.14,203.69811248779297,0,1,"3_adam_epsilon=0.40604,batch_size=406,dropout=0.32416,epochs=142,learning_rate=0.023636",0.02363626972178853,0.3241648132488888,406,0.4060378835796702,142
f94bea6b,0.9825397888198495,0.9807000160217285,0.0018397727981209755,279.0828711986542,True,,,1,4bf085ca61fb4c8d9c14ad686a3e50d8,2020-12-14_17-29-35,1607995775,279.0828711986542,24893,lambda4,140.221.79.14,279.0828711986542,0,1,"4_adam_epsilon=0.59346,batch_size=157,dropout=0.17005,epochs=135,learning_rate=0.041319",0.041319164723677894,0.17004849886163423,157,0.5934624379905542,135
f94bea6c,0.9783822234187808,0.9789000153541565,0.000517791935375711,297.1695635318756,True,,,1,79258b79c32c452ba04304267f6c57d7,2020-12-14_17-30-44,1607995844,297.1695635318756,24894,lambda4,140.221.79.14,297.1695635318756,0,1,"5_adam_epsilon=0.33024,batch_size=368,dropout=0.38169,epochs=196,learning_rate=0.018996",0.01899576146885115,0.3816852295661051,368,0.3302365523679286,196
f94bea6d,0.7813000130653381,0.8185999989509583,0.03729998588562011,239.38836669921875,True,,,1,646687feb12e431d9bc7b0e3b4299cb7,2020-12-14_17-32-04,1607995924,239.38836669921875,24892,lambda4,140.221.79.14,239.38836669921875,0,1,"6_adam_epsilon=0.42736,batch_size=400,dropout=0.2042,epochs=158,learning_rate=6.4406e-05",6.440552123317402e-05,0.2042033572188772,400,0.4273618080597564,158
f94bea6e,0.9789246435348804,0.9781000018119812,0.0008246417228991998,142.8317790031433,True,,,1,45f68d894ee145cabcb58db826f3e2df,2020-12-14_17-32-01,1607995921,142.8317790031433,44055,lambda4,140.221.79.14,142.8317790031433,0,1,"7_adam_epsilon=0.28316,batch_size=392,dropout=0.50551,epochs=101,learning_rate=0.057342",0.05734180128254872,0.5055061327594425,392,0.28316484191941105,101
f94bea6f,0.9745721201101939,0.9750000238418579,0.0004279037316640144,209.99931120872498,True,,,1,11d63fb4be70473b8fa1c9de8278aaab,2020-12-14_17-34-17,1607996057,209.99931120872498,46953,lambda4,140.221.79.14,209.99931120872498,0,1,"8_adam_epsilon=0.56509,batch_size=336,dropout=0.4363,epochs=134,learning_rate=0.021986",0.021985630037750264,0.43629696856795813,336,0.5650854287496163,134
f94bea70,0.9814285867744021,0.9825000166893005,0.001071429914898392,218.7456784248352,True,,,1,795cdc2e9d49467f93a2cb444c2740b9,2020-12-14_17-35-42,1607996142,218.7456784248352,50221,lambda4,140.221.79.14,218.7456784248352,0,1,"9_adam_epsilon=0.13349,batch_size=280,dropout=0.30015,epochs=144,learning_rate=0.052309",0.05230944681953728,0.30015470039625225,280,0.13348524586095695,144
f94bea71,0.9806618925296899,0.980400025844574,0.00026186668511596345,349.08962225914,True,,,1,b1711552b691481eaace17be464d931c,2020-12-14_17-37-56,1607996276,349.08962225914,50317,lambda4,140.221.79.14,349.08962225914,0,1,"10_adam_epsilon=0.14327,batch_size=76,dropout=0.46731,epochs=109,learning_rate=0.0096219",0.009621946590261013,0.4673064777525636,76,0.14327383079261918,109
281ad2bc,0.9528294712305069,0.9542999863624573,0.0014705151319504006,166.45319366455078,True,,,1,b3b1cd8f0e4a47d195f09b73c110648b,2020-12-14_17-40-45,1607996445,166.45319366455078,57963,lambda4,140.221.79.14,166.45319366455078,0,1,"1_adam_epsilon=0.78655,batch_size=508,dropout=0.84341,epochs=118,learning_rate=0.070001",0.07000125812903352,0.843413132952989,508,0.7865537504636131,118
